Name;ID;Link;Category Name;Category ID;Cost;Difficulty;Preparation Time;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Preparation;ID;W;Preparation;ID;W;Preparation;ID;W;Preparation;ID;W;Preparation;ID;W
Spaghetti alla Carbonara;1;https://ricette.giallozafferano.it/Spaghetti-alla-Carbonara;First Course;3;2;2;25;Spaghetti;234;5;Eggs;90;3;Black Pepper;24;1;Guanciale;117;3;Pecorino Cheese;178;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Browning;2;2;Mixing;5;1;;;;;;
Spaghetti alle vongole;2;https://ricette.giallozafferano.it/Spaghetti-alle-vongole;First Course;3;3;2;40;Spaghetti;234;5;Garlic;107;2;Oil;163;2;Clams;65;5;Parsley;173;1;Black Pepper;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Slow cooking;7;2;;;;;;;;;
Spaghetti Cacio e Pepe;3;https://ricette.giallozafferano.it/Spaghetti-Cacio-e-Pepe;First Course;3;2;2;20;Spaghetti;234;5;Pecorino Cheese;178;4;Black Pepper;24;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Browning;2;1;Mixing;5;3;;;;;;
Spaghetti all'Amatriciana;4;https://ricette.giallozafferano.it/Spaghetti-all-Amatriciana;First Course;3;2;2;35;Spaghetti;234;5;Tomato;253;3;Guanciale;117;3;Pecorino Cheese;178;2;Oil;163;1;Chilli Peppers;61;1;Wine;272;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Slow cooking;7;3;Browning;2;2;;;;;;
Penne al baffo;5;https://ricette.giallozafferano.it/Penne-al-baffo;First Course;3;2;2;17;Penne;179;5;Ham;118;3;Cream;80;3;Tomato;253;2;Parsley;173;1;Oil;163;1;Black Pepper;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Browning;2;1;;;;;;;;;
Lasagne alla Bolognese;6;https://ricette.giallozafferano.it/Lasagne-alla-Bolognese;First Course;3;3;3;55;Puff Pastry;192;4;Beef;21;3;Pancetta;170;2;Carrots;49;1;Celery;54;1;Onion;165;1;Tomato;253;4;Oil;163;2;Wine;272;1;Black Pepper;24;1;Bechamel;20;3;Butter;40;1;Parmesan;172;3;;;;;;;;;;;;;;;;Slow cooking;7;4;Oven;6;5;Browning;2;2;Stewing;9;2;;;
Parmigiana di melanzane;7;https://ricette.giallozafferano.it/Parmigiana-di-melanzane;Second Course;4;3;3;140;Aubergine;12;5;Mozzarella;153;3;Onion;165;1;Oil;163;2;Tomato;253;3;Parmesan;172;3;Basil;17;1;Black Pepper;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;1;Oven;6;4;Browning;2;2;Deep Frying;3;4;Slow cooking;7;1
Gateau di patate;8;https://ricette.giallozafferano.it/Gateau-di-patate;Complete Meal;2;2;2;100;Potato;188;5;Salami;213;3;Parmesan;172;3;Oil;163;2;Mozzarella;153;3;Ham;118;3;Eggs;90;4;Black Pepper;24;1;Bread;32;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;3;Oven;6;5;;;;;;;;;
Spaghetti allo scoglio;9;https://ricette.giallozafferano.it/Spaghetti-allo-scoglio;First Course;3;4;3;55;Spaghetti;234;5;Clams;65;4;Scampi;221;4;Oil;163;2;Parsley;173;2;Mussels;156;4;Squid;239;4;Tomato;253;3;Garlic;107;2;Wine;272;1;Black Pepper;24;1;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Slow cooking;7;4;;;;;;;;;
Arancine;10;https://ricette.giallozafferano.it/Arancini-di-riso;Starter;1;2;3;105;Rice;201;5;Butter;40;1;Saffron;209;2;Caciocavallo Cheese;42;3;Batter;18;2;Bread;32;2;Pork Meat;187;3;Tomato;253;3;Black Pepper;24;1;Peas;177;2;Oil;163;3;Wine;272;1;;;;;;;;;;;;;;;;;;;Boiling;1;4;Deep Frying;3;4;Stewing;9;2;Browning;2;1;;;
