id,name,description,time_minutes,difficulty,ddimage_url,user_id,approved
1,Spaghetti alla Carbonara,,,2.0,,,
2,Spaghetti alle vongole,,,2.0,,,
3,Spaghetti Cacio e Pepe,,,2.0,,,
4,Spaghetti all'Amatriciana,,,2.0,,,
5,Penne al baffo,,,2.0,,,
6,Lasagne alla Bolognese,,,3.0,,,
7,Parmigiana di melanzane,,,3.0,,,
8,Gateau di patate,,,2.0,,,
9,Spaghetti allo scoglio,,,3.0,,,
10,Arancine,,,3.0,,,
11,Pasta e fagioli,,,1.0,,,
12,Pasta alla gricia,,,2.0,,,
13,Crema di zucca,,,2.0,,,
14,Pasta al forno,,,2.0,,,
15,Calamarata,,,2.0,,,
16,Pollo alle mandorle,,,2.0,,,
17,Torta salata di melanzane,,,1.0,,,
18,Vitello tonnato,,,2.0,,,
19,Spaghetti con crema di burrata e melanzane,,,2.0,,,
20,Insalata tiepida di polpo e patate,,,2.0,,,
21,Scaloppine al limone,,,2.0,,,
22,Melanzane al forno,,,1.0,,,
23,Seppie con piselli,,,3.0,,,
24,Torta salata di zucchine,,,3.0,,,
25,Polpettine di tonno e ricotta,,,2.0,,,
26,Polpette di melanzane,,,2.0,,,
27,Conchiglioni ripieni,,,3.0,,,
28,Risotto allo Zafferano,,,3.0,,,
29,Couscous alle verdure,,,2.0,,,
30,Polpette al sugo,,,1.0,,,
31,Pasta e zucchine,,,1.0,,,
32,Salmone al forno,,,2.0,,,
33,Calamari ripieni,,,2.0,,,
34,Pasta e patate alla napoletana,,,2.0,,,
35,Gnocchi alla romana,,,3.0,,,
36,Pizzoccheri alla valtellinese,,,3.0,,,
37,Pasta e lenticchie,,,2.0,,,
38,Pasta allo scarpariello,,,1.0,,,
39,Cannelloni,,,2.0,,,
40,Sushi,,,3.0,,,
41,Gamberoni al forno,,,2.0,,,
42,Pasta alla zozzona,,,2.0,,,
43,Paccheri con carciofi alla carbonara,,,2.0,,,
44,Ossibuchi alla milanese,,,3.0,,,
45,Trofie con crema di zucchine e pancetta,,,2.0,,,
46,Mozzarella in carrozza,,,2.0,,,
47,Brasato al Barolo,,,2.0,,,
48,Baccalà in umido,,,2.0,,,
49,Saltimbocca alla Romana,,,2.0,,,
50,Fiori di zucca in pastella,,,2.0,,,
51,Gnocco fritto,,,4.0,,,
52,Pollo al limone,,,2.0,,,
53,Insalata di riso,,,2.0,,,
54,Piadina Romagnola,,,2.0,,,
55,Zuppa di ceci,,,2.0,,,
56,Spaghetti al tonno,,,1.0,,,
57,Pollo al curry,,,2.0,,,
58,Spezzatino di vitello con patate,,,2.0,,,
59,Risotto alla salsiccia,,,2.0,,,
60,Crocchette di patate,,,2.0,,,
61,Riso alla cantonese,,,1.0,,,
62,Gnocchi alla sorrentina,,,2.0,,,
63,Paccheri al sugo di calamari,,,2.0,,,
64,Orecchiette broccoli e salsiccia,,,1.0,,,
65,Pollo alla cacciatora,,,2.0,,,
66,Linguine gamberetti zucchine e zafferano,,,1.0,,,
67,Cornetti salati,,,2.0,,,
68,Salmone croccante,,,1.0,,,
69,Risotto con zucchine,,,1.0,,,
70,Genovese,,,2.0,,,
71,Pesce spada alla siciliana,,,1.0,,,
72,Cozze gratinate,,,2.0,,,
73,Scaloppine ai funghi,,,2.0,,,
74,Polpette di verdure,,,1.0,,,
75,Spezzatino di manzo,,,1.0,,,
76,Torta rustica salata,,,2.0,,,
77,Passatelli in brodo,,,1.0,,,
78,Arrosto di vitello al forno con patate,,,3.0,,,
79,Pasta con la zucca,,,1.0,,,
80,Frittata di spaghetti,,,2.0,,,
81,Canederli alla tirolese (Knödel),,,2.0,,,
82,Spaghetti alla puttanesca,,,2.0,,,
83,Pasta al forno con broccoli e pancetta,,,2.0,,,
84,Polpette di zucchine,,,1.0,,,
85,Carne alla pizzaiola,,,1.0,,,
86,Cosce di pollo al forno,,,2.0,,,
87,Vellutata di zucca,,,2.0,,,
88,Capesante gratinate,,,1.0,,,
89,Pasta alla cenere,,,1.0,,,
90,Polpette di carne,,,2.0,,,
91,Pasta alla marinara,,,3.0,,,
92,Pasta agli asparagi,,,2.0,,,
93,Spaghetti aglio olio e peperoncino,,,1.0,,,
94,Pomodori ripieni,,,2.0,,,
95,Ali di pollo e patate saporite,,,1.0,,,
96,Pasta con asparagi e pancetta,,,2.0,,,
97,Orecchiette con le cime di rapa,,,2.0,,,
98,Carbonara di mare,,,2.0,,,
99,Tagliatelle ai funghi porcini,,,3.0,,,
100,Risotto ai funghi porcini,,,2.0,,,
101,Spezzatino con piselli,,,2.0,,,
