recipe_id,ingredient_id
1,234
1,90
1,24
1,117
1,178
2,234
2,107
2,163
2,65
2,173
2,24
3,234
3,178
3,24
4,234
4,253
4,117
4,178
4,163
4,61
4,272
5,179
5,118
5,80
5,253
5,173
5,163
5,24
6,192
6,21
6,170
6,49
6,54
6,165
6,253
6,163
6,272
6,24
6,20
6,40
6,172
7,12
7,153
7,165
7,163
7,253
7,172
7,17
7,24
8,188
8,213
8,172
8,163
8,153
8,118
8,90
8,24
8,32
9,234
9,65
9,221
9,163
9,173
9,156
9,239
9,253
9,107
9,272
9,24
10,201
10,40
10,209
10,42
10,18
10,32
10,187
10,253
10,24
10,177
10,163
10,272
11,86
11,253
11,191
11,19
11,126
11,54
11,107
11,128
11,24
11,165
11,49
11,207
11,163
12,203
12,178
12,117
13,193
13,266
13,24
13,163
13,160
13,188
13,165
13,64
14,203
14,90
14,172
14,220
14,20
14,216
14,187
14,253
14,163
14,160
14,24
14,17
14,173
14,32
14,107
15,45
15,239
15,107
15,61
15,253
15,272
15,24
15,163
16,58
16,90
16,163
16,189
16,24
16,4
16,232
16,15
17,192
17,12
17,220
17,172
17,253
17,24
17,163
18,265
18,54
18,49
18,165
18,107
18,272
18,128
18,66
18,163
18,24
18,90
18,260
18,215
18,47
19,234
19,39
19,17
19,163
19,12
19,182
19,24
20,239
20,188
20,128
20,173
20,24
20,163
20,130
21,265
21,104
21,24
21,100
21,40
22,12
22,253
22,220
22,164
22,47
22,163
22,24
22,168
23,177
23,85
23,165
23,163
23,173
23,266
23,253
23,272
23,24
24,100
24,163
24,268
24,252
24,276
24,229
24,24
24,90
24,220
24,172
24,170
25,260
25,202
25,2
25,47
25,173
25,90
25,172
25,24
25,32
25,163
26,12
26,32
26,172
26,90
26,107
26,24
26,173
26,163
27,73
27,253
27,172
27,163
27,165
27,24
27,187
27,21
27,202
27,153
27,272
27,90
27,107
28,209
28,201
28,40
28,165
28,172
28,272
28,266
29,78
29,163
29,262
29,49
29,12
29,253
29,61
29,165
29,107
29,276
29,177
29,108
29,147
30,21
30,216
30,32
30,172
30,90
30,173
30,168
30,160
30,24
30,163
30,253
31,92
31,276
31,17
31,163
31,24
31,107
32,214
32,188
32,130
32,272
32,163
32,173
32,24
33,239
33,272
33,107
33,32
33,2
33,90
33,172
33,173
33,24
33,163
34,149
34,188
34,54
34,49
34,165
34,126
34,253
34,207
34,172
34,163
34,24
35,227
35,40
35,172
35,146
35,90
35,160
36,184
36,40
36,172
36,127
36,188
36,107
37,86
37,132
37,170
37,253
37,49
37,165
37,54
37,266
37,107
37,207
37,252
37,172
37,61
37,163
37,24
38,234
38,253
38,178
38,172
38,17
38,61
38,163
38,107
39,100
39,90
39,253
39,20
39,216
39,21
39,172
39,163
39,165
39,54
39,49
39,272
39,24
40,201
40,268
40,245
40,225
40,13
40,79
40,214
40,271
40,260
40,232
40,108
41,190
41,130
41,163
41,24
41,173
42,203
42,117
42,216
42,178
42,253
42,163
42,90
43,169
43,9
43,90
43,170
43,172
43,178
43,229
43,272
43,163
43,24
