id,name
1,Agretti
2,Alice fish
3,Allspice
4,Almonds
5,Angler
6,Anice
7,Aperol
8,Apple
9,Artichoke
10,Asiago Cheese
11,Asparagus
12,Aubergine
13,Avocado
14,Bacon
15,Bamboo Shoot
16,Barley
17,Basil
18,Batter
19,Beans
20,Bechamel
21,Beef
22,Beef Broth
23,Beer
24,Black Pepper
25,Blackspot Seabream
26,Blue Cheese
27,Blueberries
28,Boar
29,Bottarga
30,Boursault Cheese
31,Brandy
32,Bread
33,Brie
34,Brill
35,Broccoli
36,Brussel Sprouts
37,Bucatini
38,Bulgur
39,Burrata
40,Butter
41,Cabbage
42,Caciocavallo Cheese
43,Caciotta
44,Cajun
45,Calamarata
46,Camembert Cheese
47,Capers
48,Cardamom
49,Carrots
50,Caserecce
51,Cashew
52,Cauliflower
53,Cayenne
54,Celery
55,Chard
56,Cheddar Cheese
57,Chesnut
58,Chicken Meat
59,Chickpeas
60,Chicory
61,Chilli Peppers
62,Chives
63,Chorizo
64,Cinnamon
65,Clams
66,Clove
67,Cocoa Powder
68,Cod
69,Cod
70,Coffee
71,Cognac
72,Common Plum
73,Conchiglioni
74,Coriander
75,Corn
76,Corn Starch
77,Cotechino
78,Couscous
79,Crabmeat
80,Cream
81,Cucumber
82,Cumin
83,Currant
84,Curry Powder
85,Cuttlefish
86,Ditaloni
87,Dried Figs
88,Duck
89,Edam
90,Eggs
91,Emmental Cheese
92,Farfalle
93,Fava Beans
94,Fennel
95,Feta Cheese
96,Figs
97,Filo
98,Fish Broth
99,Flax Seeds
100,Flour
101,Focaccia
102,Fontina Cheese
103,Frankfurters
104,Fruit Juice
105,Fusilli
106,Garam Masala
107,Garlic
108,Ginger
109,Goat Cheese
110,Goat Meat
111,Grand Marnier
112,Grapefruit
113,Grappa
114,Green Beans
115,Gruyere Cheese
116,Guacamole
117,Guanciale
118,Ham
119,Hazelnuts
120,Honey
121,Juniper
122,Ketchup
123,Lamb
124,Lamb's Lettuce
125,Langres Cheese
126,Lard
127,Latteria Cheese
128,Laurel
129,Leek
130,Lemon
131,Lemongrass
132,Lentils
133,Lettuce
134,Linguine
135,Lobster
136,Lucanica
137,Mackerel
138,Malt
139,Mandarin
140,Maple Syrup
141,Marjoram
142,Marsala
143,Mascarpone
144,Mayonnaise
145,Melissa
146,Milk
147,Mint
148,Miso
149,Mixed Pasta
150,Monkfish
151,Montasio Cheese
152,Mortadella
153,Mozzarella
154,Mushroom
155,Musky Octopus
156,Mussels
157,Mustard
158,Narutomaki
159,Nduja
160,Nutmeg
161,Oat
162,Octopus
163,Oil
164,Olives
165,Onion
166,Orange
167,Orechiette
168,Oregano
169,Paccheri
170,Pancetta
171,Paprika
172,Parmesan
173,Parsley
174,Passion Fruit
175,Peanuts
176,Pear
177,Peas
178,Pecorino Cheese
179,Penne
180,Pepper
181,Pesto
182,Pine Nut
183,Pistachio
184,Pizzoccheri
185,Plum
186,Poppy Seeds
187,Pork Meat
188,Potato
189,Potato Starch
190,Prawn
191,Prosciutto
192,Puff Pastry
193,Pumpkin
194,Quinoa
195,Rabbit
196,Radicchio
197,Radish
198,Raisin
199,Red Bandfish
200,Red mullet
201,Rice
202,Ricotta Cheese
203,Rigatoni
204,Robiola Cheese
205,Rocket
206,Roquefort Cheese
207,Rosemary
208,Rum
209,Saffron
210,Sage
211,Sake
212,Salad
213,Salami
214,Salmon
215,Sardine
216,Sausage
217,Savory
218,Savoy Cabbage
219,Scallop
220,Scamorza Cheese
221,Scampi
222,Sea Bream
223,Seabass
224,Seafood Sauce
225,Seaweed
226,Sedanini
227,Semolina
228,Sesame
229,Shallot
230,Shortcrust pastry
231,Soy
232,Soy Sauce
233,Soybean Sprout
234,Spaghetti
235,Spelt
236,Spinach
237,Spreadable Cheese
238,Squacquerone Cheese
239,Squid
240,Squid
241,Stone Bass
242,Stracchino Cheese
243,Stracciatella Cheese
244,Striped Prawn
245,Sugar
246,Sunflower Seeds
247,Swordfish
248,Tabasco
249,Taco
250,Tahin
251,Taleggio Cheese
252,Thyme
253,Tomato
254,Tomino Cheese
255,Tripe
256,Trofie
257,Trout
258,Truffle
259,Tub Gurnard
260,Tuna
261,Turkey
262,Turmeric
263,Turnip Greens
264,Valtellina Cheese
265,Veal
266,Vegetable Broth
267,Verzini
268,Vinegar
269,Vodka
270,Walnuts
271,Wasabi
272,Wine
273,Worcester Sauce
274,Yogurt
275,Ziti
276,Zucchini
277,Zucchini Flowers
