ID,Name,CategoryID,Cost,Difficulty,PreparationTime,Ingredients,Preparations,Link
1,Spaghetti alla Carbonara,3,2,2,25,[0 0 0 0 0 0 2 0 0 0 5 3 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0],[4 2 0 0 1 0 0 0],https://ricette.giallozafferano.it/Spaghetti-alla-Carbonara
2,Spaghetti alle vongole,3,3,2,40,[0 0 0 0 0 0 0 0 0 2 5 0 0 0 0 3 0 0 0 5 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[4 0 0 0 0 0 2 0],https://ricette.giallozafferano.it/Spaghetti-alle-vongole
3,Spaghetti Cacio e Pepe,3,2,2,20,[0 0 0 0 0 0 4 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0],[4 1 0 0 3 0 0 0],https://ricette.giallozafferano.it/Spaghetti-Cacio-e-Pepe
4,Spaghetti all'Amatriciana,3,2,2,35,[0 0 0 0 0 0 2 0 0 1 5 0 0 0 3 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 1 0],[4 2 0 0 0 0 3 0],https://ricette.giallozafferano.it/Spaghetti-all-Amatriciana
5,Penne al baffo,3,2,2,17,[0 0 0 0 0 0 0 0 0 1 5 0 0 0 2 1 0 0 3 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0],[4 1 0 0 0 0 0 0],https://ricette.giallozafferano.it/Penne-al-baffo
6,Lasagne alla Bolognese,3,3,3,55,[3 0 0 0 1 0 3 0 0 2 0 0 0 4 5 1 0 0 3 0 0 0 2 0 0 0 0 0 0 1 0 0 0 1 1 0],[0 2 0 0 0 5 4 2],https://ricette.giallozafferano.it/Lasagne-alla-Bolognese
7,Parmigiana di melanzane,4,3,3,140,[0 0 0 0 0 0 3 0 0 2 0 0 0 0 3 2 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 5 0 0],[1 2 4 0 0 4 1 0],https://ricette.giallozafferano.it/Parmigiana-di-melanzane
8,Gateau di patate,2,2,2,100,[0 0 1 0 0 0 3 0 0 2 0 4 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 3 1 0 0 0 5 0 0],[3 0 0 0 0 5 0 0],https://ricette.giallozafferano.it/Gateau-di-patate
9,Spaghetti allo scoglio,3,4,3,55,[0 0 0 0 0 0 0 0 0 2 5 0 0 0 3 4 0 0 0 12 0 0 0 0 0 4 0 0 0 1 0 0 0 0 1 0],[4 0 0 0 0 0 4 0],https://ricette.giallozafferano.it/Spaghetti-allo-scoglio
10,Arancine,1,2,3,105,[0 0 2 0 1 5 3 0 0 3 0 0 0 0 3 0 0 2 2 0 0 0 3 0 0 0 0 0 0 3 0 0 0 0 1 0],[4 1 4 0 0 0 0 2],https://ricette.giallozafferano.it/Arancini-di-riso
11,Pasta e fagioli,3,2,1,125,[0 0 0 0 0 0 0 0 0 1 5 0 0 0 5 7 0 5 0 0 0 0 4 0 0 0 0 0 0 1 0 0 0 2 0 0],[0 3 0 0 0 0 4 0],https://ricette.giallozafferano.it/Pasta-e-fagioli
12,Pasta alla gricia,3,3,2,25,[0 0 0 0 0 0 4 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0],[4 3 0 0 0 0 0 0],https://ricette.giallozafferano.it/Pasta-alla-gricia
13,Crema di zucca,3,2,2,50,[0 0 0 3 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 8 0 0],[0 4 0 0 0 4 4 0],https://ricette.giallozafferano.it/Crema-di-zucca
14,Pasta al forno,3,3,2,110,[0 0 1 0 0 0 4 0 0 1 5 2 0 0 4 3 0 0 3 0 0 0 5 0 0 0 0 0 0 2 0 0 0 0 0 0],[4 2 0 0 0 5 0 0],https://ricette.giallozafferano.it/Pasta-al-forno
15,Calamarata,3,4,2,70,[0 0 0 0 0 0 0 0 0 1 5 0 0 0 3 2 0 0 0 4 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0],[4 0 0 0 0 2 3 0],https://ricette.giallozafferano.it/Calamarata
16,Pollo alle mandorle,4,2,2,30,[0 0 0 0 0 0 0 5 0 2 0 2 2 0 2 0 0 0 0 0 0 4 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[3 4 0 2 0 0 3 0],https://ricette.giallozafferano.it/Pollo-alle-mandorle
17,Torta salata di melanzane,5,2,1,60,[0 0 0 0 0 0 4 0 0 1 0 0 0 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 5 0 0],[0 0 0 0 0 5 0 0],https://ricette.giallozafferano.it/Torta-salata-di-melanzane
18,Vitello tonnato,1,4,2,85,[5 0 0 0 0 0 0 0 0 1 0 2 0 0 1 3 0 0 0 0 0 0 0 0 1 7 0 0 0 2 0 0 0 1 1 0],[4 0 0 0 0 0 3 0],https://ricette.giallozafferano.it/Vitello-tonnato
19,Spaghetti con crema di burrata e melanzane,3,3,2,30,[0 0 0 0 0 0 0 0 0 1 5 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 3 1 0 0 0 3 0 0],[4 1 2 0 0 0 0 0],https://ricette.giallozafferano.it/Spaghetti-con-crema-di-burrata-e-melanzane
20,Insalata tiepida di polpo e patate,4,3,2,85,[0 0 0 0 0 0 0 0 3 2 0 0 0 0 0 3 0 0 0 5 0 0 0 0 0 0 0 0 0 1 0 0 0 5 0 0],[5 0 0 0 0 0 0 0],https://ricette.giallozafferano.it/Insalata-tiepida-di-polpo-e-patate
21,Scaloppine al limone,4,2,2,20,[5 0 0 0 1 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[0 4 0 0 0 0 3 0],https://ricette.giallozafferano.it/Scaloppine-al-limone
22,Melanzane al forno,1,1,1,55,[0 0 0 0 0 0 3 0 0 1 0 0 0 0 3 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 5 0 0],[0 0 0 0 0 5 0 0],https://ricette.giallozafferano.it/Melanzane-al-forno
23,Seppie con piselli,4,3,3,70,[0 0 0 2 0 0 0 0 0 1 0 0 0 0 2 2 0 4 0 5 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0],[0 0 0 0 0 0 3 4],https://ricette.giallozafferano.it/Seppie-con-piselli
24,Torta salata di zucchine,5,3,3,75,[0 0 0 0 0 0 5 0 0 4 0 3 2 0 0 3 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 4 0 0],[0 0 0 0 0 4 0 3],https://ricette.giallozafferano.it/Torta-salata-di-zucchine
25,Polpettine di tonno e ricotta,4,2,2,30,[0 0 1 0 0 0 2 0 0 3 0 2 0 0 0 1 0 0 0 0 0 0 0 0 1 6 0 0 4 1 0 0 0 0 0 0],[0 0 5 0 0 0 0 0],https://ricette.giallozafferano.it/Polpettine-di-tonno-e-ricotta
26,Polpette di melanzane,1,2,2,90,[0 0 1 0 0 0 2 0 0 3 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 0 0],[0 0 5 0 0 2 0 0],https://ricette.giallozafferano.it/Polpette-di-melanzane
27,Conchiglioni ripieni,3,3,3,105,[3 0 0 0 0 0 2 0 0 2 4 2 0 0 3 3 0 0 0 0 0 0 3 0 0 0 0 0 4 1 0 0 0 0 1 0],[4 2 0 0 0 3 4 0],https://ricette.giallozafferano.it/Conchiglioni-ripieni
28,Risotto allo Zafferano,3,3,3,30,[0 0 0 2 2 4 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0],[0 2 0 0 3 0 0 0],https://ricette.giallozafferano.it/Risotto-allo-Zafferano
29,Couscous alle verdure,3,2,2,40,[0 0 0 0 0 0 0 0 0 2 5 0 0 0 2 5 0 2 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 6 0 0],[0 4 0 0 0 0 4 0],https://ricette.giallozafferano.it/Couscous-alle-verdure
30,Polpette al sugo,4,2,1,50,[5 0 2 0 0 0 2 0 0 1 0 3 0 0 3 2 0 0 0 0 0 0 3 0 0 0 0 0 0 2 0 0 0 0 0 0],[0 4 0 0 0 0 3 0],https://ricette.giallozafferano.it/Polpette-al-sugo
31,Pasta e zucchine,3,1,1,20,[0 0 0 0 0 0 0 0 0 1 5 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 0 0],[4 2 0 0 0 0 3 0],https://ricette.giallozafferano.it/Pasta-e-zucchine
32,Salmone al forno,4,3,2,50,[0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 5 0 0 0 1 0 0 0 3 1 0],[0 0 0 0 0 5 0 0],https://ricette.giallozafferano.it/Salmone-al-forno
33,Calamari ripieni,4,4,2,60,[0 0 1 0 0 0 1 0 0 1 0 2 0 0 0 2 0 0 0 5 0 0 0 0 0 4 0 0 0 1 0 0 0 0 3 0],[0 3 0 0 0 0 4 0],https://ricette.giallozafferano.it/Calamari-ripieni
34,Pasta e patate alla napoletana,3,2,2,70,[0 0 0 0 0 0 1 0 0 1 5 0 0 0 2 2 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 4 0 0],[4 3 0 0 0 0 0 0],https://ricette.giallozafferano.it/Pasta-e-patate-alla-napoletana
35,Gnocchi alla romana,3,2,3,50,[0 0 0 0 2 4 2 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[3 0 0 0 0 3 0 0],https://ricette.giallozafferano.it/Gnocchi-alla-romana
36,Pizzoccheri alla valtellinese,3,2,3,45,[0 0 0 0 3 0 5 0 0 0 0 0 0 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0],[4 0 0 0 0 0 3 0],https://ricette.giallozafferano.it/Pizzoccheri-alla-valtellinese
